comment_id,text,author_display_name,author_channel_url,published_at,updated_at,parent_id
Ugx6DWB8bUSBs_Jqp_J4AaABAg,anyone from 2025,@ssssauravvvvv,http://www.youtube.com/@ssssauravvvvv,2025-01-15T16:38:02Z,2025-01-15T16:38:02Z,
UgyC0EJ2EjL_sicDZ7N4AaABAg,sidhu moose wala lovers kidher hain ?,@KINGVlogs56,http://www.youtube.com/@KINGVlogs56,2025-01-15T16:17:23Z,2025-01-15T16:17:23Z,
UgxP1qyutebik1UmAZp4AaABAg,2025 kon kon dekh raha hai like karo,@AjfarSk-b4n,http://www.youtube.com/@AjfarSk-b4n,2025-01-15T15:31:43Z,2025-01-15T15:31:43Z,
Ugw_kBVmYJ0XBg3AIdl4AaABAg,2025 jan attendance,@Bro87113,http://www.youtube.com/@Bro87113,2025-01-15T09:02:03Z,2025-01-15T09:02:03Z,
Ugz9mo-aVZnvDs6M6qd4AaABAg,wow 2025,@Fkwelder,http://www.youtube.com/@Fkwelder,2025-01-15T08:24:20Z,2025-01-15T08:24:20Z,
UgzvFGMsovwvGCLUFBN4AaABAg,anyone from 2025 15 january,@qadir898,http://www.youtube.com/@qadir898,2025-01-15T06:28:44Z,2025-01-15T06:28:44Z,
Ugxi-hTaXPei-apA-A54AaABAg,anyone in 2025,@sadafhossainsayem1441,http://www.youtube.com/@sadafhossainsayem1441,2025-01-15T05:31:52Z,2025-01-15T05:31:52Z,
UgwrKJGFRvlfdmMuRC94AaABAg,any one 2025,@RahulRaj-x8g3v,http://www.youtube.com/@RahulRaj-x8g3v,2025-01-15T04:27:07Z,2025-01-15T04:27:07Z,
UgyExn95f5ZDFjBgLXN4AaABAg,shekh chilli sunke aya,@mr.shadow2538,http://www.youtube.com/@mr.shadow2538,2025-01-14T15:34:27Z,2025-01-14T15:34:27Z,
UgzdYaQoJL0gP0y7RIZ4AaABAg,2025 mai hai koi,@arunwaldia7877,http://www.youtube.com/@arunwaldia7877,2025-01-14T15:26:42Z,2025-01-14T15:26:42Z,
UgzmekehP4eMOquIiC54AaABAg,any one from 2025,@jahidulislamjoy4321,http://www.youtube.com/@jahidulislamjoy4321,2025-01-14T13:19:43Z,2025-01-14T13:19:43Z,
Ugz36gpQGurkClLMsC94AaABAg,anyone in 2025,@naikesarkar2227,http://www.youtube.com/@naikesarkar2227,2025-01-14T11:08:31Z,2025-01-14T11:08:31Z,
UgwQZmMrQrVe0L6z_Lx4AaABAg,bhai emibai bantai se panga matle bhai rafu kya samja eye bacha hai tu rafu,@ManavRoy-b5k,http://www.youtube.com/@ManavRoy-b5k,2025-01-14T08:58:10Z,2025-01-14T08:58:10Z,
UgxkzSWcA6luQQSRVrp4AaABAg,kon kon 2025 me sun raha he,@bootgameingssj2244,http://www.youtube.com/@bootgameingssj2244,2025-01-14T08:03:06Z,2025-01-14T08:03:06Z,
UgxMiZLelTkmngOdgbF4AaABAg,"anyone from 2025 a href""",@Rauqff,http://www.youtube.com/@Rauqff,2025-01-14T06:57:22Z,2025-01-14T06:57:22Z,
UgzSNzBlRVJk7b7etKB4AaABAg,2025 still gives chills the era of diss,@theabhizing,http://www.youtube.com/@theabhizing,2025-01-13T23:58:47Z,2025-01-13T23:58:47Z,
Ugy0JdyPwtmd_nfAwU94AaABAg,anyone from 2025?,@AniketWankhede-k6m,http://www.youtube.com/@AniketWankhede-k6m,2025-01-13T19:37:34Z,2025-01-13T19:37:34Z,
UgzKy7DPnng7Uql998R4AaABAg,2025 me kon kon dekra,@AfrozKhan-h9g,http://www.youtube.com/@AfrozKhan-h9g,2025-01-13T17:22:36Z,2025-01-13T17:22:36Z,
UgzgwP41jwpSkLOCdOJ4AaABAg,2025 me bhi sunn rahe h,@Nikhil-de2sh,http://www.youtube.com/@Nikhil-de2sh,2025-01-13T16:49:38Z,2025-01-13T16:49:38Z,
UgyQSKrA_ZrmPPy2bM94AaABAg,anyone in 2025 ?,@Knightff894,http://www.youtube.com/@Knightff894,2025-01-13T15:44:48Z,2025-01-13T15:44:48Z,
Ugyn4krxA9VfvCc2joR4AaABAg,2025 any one?,@tejashsam,http://www.youtube.com/@tejashsam,2025-01-13T14:08:52Z,2025-01-13T14:08:52Z,
UgyX28KN9PNVttkTSSJ4AaABAg,2025 main kon kon hai,@RcRahan-do8wf,http://www.youtube.com/@RcRahan-do8wf,2025-01-13T12:21:59Z,2025-01-13T12:21:59Z,
UgyQwmZ5Fi8PDFWZjCV4AaABAg,mujhse panga liya he brsehana padega,@SureAce-j2u,http://www.youtube.com/@SureAce-j2u,2025-01-13T11:12:07Z,2025-01-13T11:12:07Z,
UgyEPh0pDyRZL5X7Ajh4AaABAg,any 2025,@nexusgaming7272,http://www.youtube.com/@nexusgaming7272,2025-01-13T10:15:26Z,2025-01-13T10:15:26Z,
UgwJQwD_RQSKe0x1Up94AaABAg,,@SachinYadav-f9g,http://www.youtube.com/@SachinYadav-f9g,2025-01-13T04:04:31Z,2025-01-13T04:04:31Z,
UgzJrmUSRxc0bkMnlah4AaABAg,anyone from 2025 ??,@Strugglingvillagersonwheel,http://www.youtube.com/@Strugglingvillagersonwheel,2025-01-13T03:41:39Z,2025-01-13T03:41:39Z,
Ugx8q7E-Tsz-ungEROZ4AaABAg,anyone from 2025 ?,@Its.vishal2.0,http://www.youtube.com/@Its.vishal2.0,2025-01-12T18:57:54Z,2025-01-12T18:57:54Z,
UgyebbE_vabKlCqxMV14AaABAg,any from 2025 ?,@the.saif.mewati,http://www.youtube.com/@the.saif.mewati,2025-01-12T17:25:20Z,2025-01-12T17:25:20Z,
UgwSESLmgYrt8i2yfsx4AaABAg,king of rap industry,@rxsquad8619,http://www.youtube.com/@rxsquad8619,2025-01-12T16:06:18Z,2025-01-12T16:06:18Z,
UgwFF_DxhXgEBLDobtl4AaABAg,,@javedkhan-yc9rr,http://www.youtube.com/@javedkhan-yc9rr,2025-01-12T12:09:18Z,2025-01-12T12:09:18Z,
UgwI3saYzZQmqts8ulF4AaABAg,giragtaarbrraftaar,@javedkhan-yc9rr,http://www.youtube.com/@javedkhan-yc9rr,2025-01-12T12:09:06Z,2025-01-12T12:09:06Z,
Ugx3wFDABtOT9dGVO1d4AaABAg,sachha musalman hu yeline bilkul sahi boli hai aapne,@javedkhan-yc9rr,http://www.youtube.com/@javedkhan-yc9rr,2025-01-12T12:08:08Z,2025-01-12T12:08:08Z,
UgzpHRH3Yg7S8wR7fCR4AaABAg,anyone 2025,@raisaab6563,http://www.youtube.com/@raisaab6563,2025-01-12T11:56:22Z,2025-01-12T11:56:22Z,
UgyzDs8D3raPaCBRlUV4AaABAg,who39;s rewhech 2025 ?,@Beast_army_2.0,http://www.youtube.com/@Beast_army_2.0,2025-01-12T11:48:12Z,2025-01-12T11:48:12Z,
Ugy0TUmHEVxk-V46rqd4AaABAg,koun koun 2025 wala hai,@munnachainal67,http://www.youtube.com/@munnachainal67,2025-01-12T09:47:38Z,2025-01-12T09:47:38Z,
Ugz0aFkYPNgltlbppxR4AaABAg,who hear in 2025,@EusushyheEusushyhebbebebbd,http://www.youtube.com/@EusushyheEusushyhebbebebbd,2025-01-12T07:00:04Z,2025-01-12T07:00:04Z,
UgxOyLeku2RYizaW6fh4AaABAg,anyone from. 2025 ?,@TheMinecrafter-cx1ps,http://www.youtube.com/@TheMinecrafter-cx1ps,2025-01-12T03:57:15Z,2025-01-12T03:57:15Z,
UgxgDF-qV24HZcKgxNx4AaABAg,muh lo,@गीतादेवी-छ1ग,http://www.youtube.com/@%E0%A4%97%E0%A5%80%E0%A4%A4%E0%A4%BE%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%80-%E0%A4%9B1%E0%A4%97,2025-01-12T03:08:58Z,2025-01-12T03:08:58Z,
Ugx6ofUgouuXbbbnVLh4AaABAg,anyone from 2025?,@Chunnu099,http://www.youtube.com/@Chunnu099,2025-01-12T01:55:53Z,2025-01-12T01:55:53Z,
Ugyetvp_m1JeurSgY6x4AaABAg,2025 bolte,@SahilKhan-x5w4c,http://www.youtube.com/@SahilKhan-x5w4c,2025-01-11T20:08:35Z,2025-01-11T20:08:35Z,
UgwoPmx3Y0SNYWr41pF4AaABAg,2025,@AkashDas-cs8wu,http://www.youtube.com/@AkashDas-cs8wu,2025-01-11T18:26:14Z,2025-01-11T18:26:14Z,
UgymtiC4VxwFncLlM1d4AaABAg,anyone from 2025 ?,@mofisk2396,http://www.youtube.com/@mofisk2396,2025-01-11T17:39:48Z,2025-01-11T17:39:48Z,
UgxhilUT0XedgDHosOR4AaABAg,anyone 2025,@ankitfireboy,http://www.youtube.com/@ankitfireboy,2025-01-11T17:02:10Z,2025-01-11T17:02:10Z,
UgzLT_SE1ozT8lgexNl4AaABAg,anyone in 2025?,@satish_soldier,http://www.youtube.com/@satish_soldier,2025-01-11T15:45:07Z,2025-01-11T15:45:07Z,
Ugw-7K7kqLIkgGyUrgV4AaABAg,mohalle me dj par baja diya,@MrÀashu7777,http://www.youtube.com/@Mr%C3%80ashu7777,2025-01-11T14:26:48Z,2025-01-11T14:26:48Z,
UgyvUF-1FpuNXW_zN494AaABAg,i felt lucky to witnessed this rap battle,@jethalalsigmarule4286,http://www.youtube.com/@jethalalsigmarule4286,2025-01-11T12:47:51Z,2025-01-11T12:47:51Z,
UgyaeZZsbJXiLjRUVxF4AaABAg,according to emiway song is just to screammm brbahi nahi jama gana. brbrit is clear raftar won the game brbrbrbremiway is just too overrated,@SPIDER_EPIC,http://www.youtube.com/@SPIDER_EPIC,2025-01-11T12:28:03Z,2025-01-11T12:28:03Z,
UgwjW1muA1_Du__Ngmd4AaABAg,anyone from 2025?,@JassiGill-dm1rg,http://www.youtube.com/@JassiGill-dm1rg,2025-01-11T09:59:27Z,2025-01-11T09:59:27Z,
UgxdqzLcIcf8aBpfZN94AaABAg,anyone 2k25,@mehboobalom51,http://www.youtube.com/@mehboobalom51,2025-01-11T07:23:15Z,2025-01-11T07:23:15Z,
UgzcmpgGWLeP_4zDFzp4AaABAg,anyone from 2025 ?,@studymate2282,http://www.youtube.com/@studymate2282,2025-01-11T06:40:05Z,2025-01-11T06:40:05Z,
Ugz1LPQyqcgtO-IhuER4AaABAg,anyone in 2025???,@aakib6328,http://www.youtube.com/@aakib6328,2025-01-11T06:35:36Z,2025-01-11T06:35:36Z,
UgzoLU9wB-wlgtKZCxJ4AaABAg,anyone from 2025?,@ashoksinghrajpurohit9300,http://www.youtube.com/@ashoksinghrajpurohit9300,2025-01-11T03:15:07Z,2025-01-11T03:15:07Z,
Ugw5kMf_ndOxJQMRMb54AaABAg,anyone from 2025?,@akhtar_ki_short,http://www.youtube.com/@akhtar_ki_short,2025-01-11T02:55:08Z,2025-01-11T02:55:08Z,
UgwYJkgURwXa3rLclwl4AaABAg,cool,@khadangasantos,http://www.youtube.com/@khadangasantos,2025-01-11T00:32:34Z,2025-01-11T00:32:34Z,
UgyuhCoxSWsV0k1kUpR4AaABAg,2025?,@MrStranger-jl8ew,http://www.youtube.com/@MrStranger-jl8ew,2025-01-10T19:32:26Z,2025-01-10T19:32:26Z,
Ugygb50-vEWxT8CZljd4AaABAg,any one in 2025,@mymind9225,http://www.youtube.com/@mymind9225,2025-01-10T19:14:10Z,2025-01-10T19:14:10Z,
Ugyp___SwReRQfFzP3h4AaABAg,who is listening 2025,@abdulhaque3172,http://www.youtube.com/@abdulhaque3172,2025-01-10T17:54:18Z,2025-01-10T17:54:18Z,
UgwuOYi4fwX8eqRhFS54AaABAg,any one 2025,@MASHOODALAMKhan,http://www.youtube.com/@MASHOODALAMKhan,2025-01-10T15:09:47Z,2025-01-10T15:09:47Z,
UgxSRPbJe33pgewtiWF4AaABAg,anyone from 2025??,@GAMINGWITHAKKU2.0,http://www.youtube.com/@GAMINGWITHAKKU2.0,2025-01-10T14:35:21Z,2025-01-10T14:35:21Z,
Ugy-6eqKxX3L8yL7TKZ4AaABAg,anyone 2025,@AthenaYTx,http://www.youtube.com/@AthenaYTx,2025-01-10T13:44:29Z,2025-01-10T13:44:29Z,
Ugw710V0pupnhK98Mah4AaABAg,anyone in 2025,@Dontknow0777,http://www.youtube.com/@Dontknow0777,2025-01-10T03:36:58Z,2025-01-10T03:36:58Z,
UgzK2bNnfNg7LddvBQd4AaABAg,anyone from 2025?,@muhammadasif4817,http://www.youtube.com/@muhammadasif4817,2025-01-09T18:39:01Z,2025-01-09T18:39:01Z,
UgzZXHyWbPk-5gsPqq54AaABAg,anyone 2030???,@AbuzarBagwan-rs9nx,http://www.youtube.com/@AbuzarBagwan-rs9nx,2025-01-09T17:34:39Z,2025-01-09T17:34:39Z,
Ugz3N9aFjP9vC2yvZiV4AaABAg,shabbas merijan,@Asfin-chowdury,http://www.youtube.com/@Asfin-chowdury,2025-01-09T16:31:11Z,2025-01-09T16:31:11Z,
UgwdW21djlFB7Kum_Xx4AaABAg,2025?,@Conflictor18,http://www.youtube.com/@Conflictor18,2025-01-09T14:39:09Z,2025-01-09T14:39:09Z,
UgykUczU-Nm8CgF8kNJ4AaABAg,anyone in 2025 ?,@Gabru_Edits,http://www.youtube.com/@Gabru_Edits,2025-01-09T13:53:45Z,2025-01-09T13:53:45Z,
UgxaQxqfT4r1ns5mGel4AaABAg,2025 anyone??,@YoooKasoo,http://www.youtube.com/@YoooKasoo,2025-01-09T10:16:34Z,2025-01-09T10:16:34Z,
UgwyfvhIY0TPPrVc7wZ4AaABAg,anyone from 2025,@kavita99448,http://www.youtube.com/@kavita99448,2025-01-09T09:23:36Z,2025-01-09T09:23:36Z,
UgxJG22Uf9DmKPbMZ1N4AaABAg,2025 and this beef still make no sense brand where ever raftaar goes there is controversybrand emiway said mere naam tu bahot time ke baad bhi ayega,@aakash950,http://www.youtube.com/@aakash950,2025-01-08T18:18:14Z,2025-01-08T18:20:04Z,
UgxMJiTmJ_HMFkpM88R4AaABAg,2025,@Blackstar.Harshit,http://www.youtube.com/@Blackstar.Harshit,2025-01-08T17:41:48Z,2025-01-08T17:41:48Z,
UgzvFok0yKa78p8oHhB4AaABAg,anyone from 2025?,@FizzShorts02,http://www.youtube.com/@FizzShorts02,2025-01-08T17:29:49Z,2025-01-08T17:29:49Z,
UgwV_C6N0NiKWVfJ4Ht4AaABAg,gana bna,@yogendrashakyawal4071,http://www.youtube.com/@yogendrashakyawal4071,2025-01-08T16:23:48Z,2025-01-08T16:23:48Z,
Ugzc1QB0mDodLLllfqN4AaABAg,anyone 2025.?,@MdRimon-k5v,http://www.youtube.com/@MdRimon-k5v,2025-01-08T13:37:20Z,2025-01-08T13:37:20Z,
UgyJvNDi8uHBN4_4gRx4AaABAg,bhai fir se disss kardo ...bharwe ko,@GhottoSarkar,http://www.youtube.com/@GhottoSarkar,2025-01-08T10:45:32Z,2025-01-08T10:45:32Z,
UgwLcPgpCJUGE086YPt4AaABAg,2025 still enjoying,@Kairikumarofficial,http://www.youtube.com/@Kairikumarofficial,2025-01-08T05:24:46Z,2025-01-08T05:24:46Z,
Ugwy3-5uRgX7_BFJLNd4AaABAg,2025,@AVAILABLE8637,http://www.youtube.com/@AVAILABLE8637,2025-01-08T04:05:58Z,2025-01-08T04:05:58Z,
UgyHYIqdG76lSlkilAh4AaABAg,anyone from 2025,@sakshamgupta0909,http://www.youtube.com/@sakshamgupta0909,2025-01-08T03:10:23Z,2025-01-08T03:10:23Z,
UgyuuqHxuwhoAtla_bl4AaABAg,anyone still here in 2025?? after 6 years of this song released...,@romithgupta6511,http://www.youtube.com/@romithgupta6511,2025-01-07T23:31:41Z,2025-01-07T23:31:41Z,
Ugy7dJpMybzDwn0k9Rp4AaABAg,anyone from 2025,@hitlergaming8867,http://www.youtube.com/@hitlergaming8867,2025-01-07T19:07:03Z,2025-01-07T19:07:03Z,
UgymznzXojJI4M8uYiR4AaABAg,2025 anyone?,@lazeout_,http://www.youtube.com/@lazeout_,2025-01-07T18:50:10Z,2025-01-07T18:50:10Z,
UgzqmnZPODE4qGkJadV4AaABAg,anyone from 2025..?,@himanshupandit2912,http://www.youtube.com/@himanshupandit2912,2025-01-07T18:42:30Z,2025-01-07T18:42:30Z,
Ugwyc88DZ5gqMwhQYqx4AaABAg,love you bro,@bethelchurch3252,http://www.youtube.com/@bethelchurch3252,2025-01-07T18:11:26Z,2025-01-07T18:11:26Z,
UgxylV_qm5gf4lwr64J4AaABAg,anyone from 2025 ?,@rehanfarooqui7084,http://www.youtube.com/@rehanfarooqui7084,2025-01-07T17:14:21Z,2025-01-07T17:14:21Z,
Ugy4MV-QOFNOU-vFO9F4AaABAg,neon hoodie says it all,@m.k195,http://www.youtube.com/@m.k195,2025-01-07T17:13:43Z,2025-01-07T17:13:43Z,
Ugxdc-jb4qZ5Bk1s3f54AaABAg,2025?,@MAHESHJADHAV-k3q,http://www.youtube.com/@MAHESHJADHAV-k3q,2025-01-07T17:02:05Z,2025-01-07T17:02:05Z,
Ugzk4RJMdFeRinc9ra94AaABAg,thankyou.........,@MAHESHJADHAV-k3q,http://www.youtube.com/@MAHESHJADHAV-k3q,2025-01-07T17:01:56Z,2025-01-07T17:01:56Z,
UgyVMOCWUUpv23B_PRd4AaABAg,2025 mai koi hai kya,@memelover7291,http://www.youtube.com/@memelover7291,2025-01-07T15:59:01Z,2025-01-07T15:59:01Z,
Ugy4tVg2uEOSVD4Jyad4AaABAg,anyone from 2025?,@DORAEMON_01_,http://www.youtube.com/@DORAEMON_01_,2025-01-07T14:30:43Z,2025-01-07T14:30:43Z,
UgxONKnSo8e15oXFf454AaABAg,anyone from 2025,@Sharifbalak07422,http://www.youtube.com/@Sharifbalak07422,2025-01-07T11:00:34Z,2025-01-07T11:00:34Z,
UgxwoAhUb9gLXZIWkkV4AaABAg,anyone 2027,@EnoughYatharth,http://www.youtube.com/@EnoughYatharth,2025-01-07T10:17:54Z,2025-01-07T10:17:54Z,
UgwMtA8j5gDCAzhf0Pp4AaABAg,anyone 2025,@Alex-id7dc,http://www.youtube.com/@Alex-id7dc,2025-01-07T09:42:52Z,2025-01-07T09:42:52Z,
UgxzzWNMVPELJaE4PZp4AaABAg,2025 phir v best beef of dhh,@masssudikbal,http://www.youtube.com/@masssudikbal,2025-01-07T09:08:40Z,2025-01-07T09:08:40Z,
UgxruGcybkdUweB0l0V4AaABAg,anyone from 2025,@ThannKhaych,http://www.youtube.com/@ThannKhaych,2025-01-07T08:53:29Z,2025-01-07T08:53:29Z,
UgwywqX9cMEQjNrWsrl4AaABAg,raftaar raaa lol,@souvikkumarmandal3091,http://www.youtube.com/@souvikkumarmandal3091,2025-01-07T05:12:11Z,2025-01-07T05:12:11Z,
UgwUHAWeDkdMvoyuGsx4AaABAg,raftaar marbake manega,@souvikkumarmandal3091,http://www.youtube.com/@souvikkumarmandal3091,2025-01-07T05:11:42Z,2025-01-07T05:11:42Z,
UgxZT_rKlEC4Jvn7Prh4AaABAg,akash is created new past life of akash past ko present mein le aya hai akash by using radha rani sprituality,@PramodKumar-cd9sv,http://www.youtube.com/@PramodKumar-cd9sv,2025-01-07T05:11:39Z,2025-01-07T05:11:39Z,
UgxjWhQTaOFa01h2Vq94AaABAg,akash is created new past life of akash,@PramodKumar-cd9sv,http://www.youtube.com/@PramodKumar-cd9sv,2025-01-07T05:11:07Z,2025-01-07T05:11:07Z,
UgziXlmIZYpQuvvk9Fl4AaABAg,anyone in 2025?,@pritam1142,http://www.youtube.com/@pritam1142,2025-01-07T03:21:07Z,2025-01-07T03:21:07Z,
UgxANopyHbkcX13usUZ4AaABAg,anyone is 2025 ???,@surendrapandey3184,http://www.youtube.com/@surendrapandey3184,2025-01-07T02:04:59Z,2025-01-07T02:04:59Z,
UgxwzJU3teuWkSsEbv94AaABAg,anyone in 2025,@digitalaatish45,http://www.youtube.com/@digitalaatish45,2025-01-06T17:37:16Z,2025-01-06T17:37:16Z,
Ugw2iEy8RY79oo5VzOd4AaABAg,anyone from 2025 ???,@INFERNOPLAYZIND,http://www.youtube.com/@INFERNOPLAYZIND,2025-01-06T17:27:35Z,2025-01-06T17:27:35Z,
UgxrO15HELLXrlWoYAt4AaABAg,2025 with same vibe yes or no ? like karon agar mei sahi hui toh,@RitabrataChakraborty-t5b,http://www.youtube.com/@RitabrataChakraborty-t5b,2025-01-06T11:21:02Z,2025-01-06T11:21:27Z,
Ugxl-zlYp5I78wIaupt4AaABAg,op bhai,@ZishanAli-d8h,http://www.youtube.com/@ZishanAli-d8h,2025-01-06T09:39:19Z,2025-01-06T09:39:19Z,
UgylU8uURbszs_muP1F4AaABAg,2025,@Eternitybuzz,http://www.youtube.com/@Eternitybuzz,2025-01-06T08:20:17Z,2025-01-06T08:20:17Z,
UgzrN4O16nQUdWBmVXd4AaABAg,anyone in 2025,@IITian_ff_9,http://www.youtube.com/@IITian_ff_9,2025-01-06T08:17:46Z,2025-01-06T08:17:46Z,
UgyGbMuEa2mVGSdShul4AaABAg,anyone from 2025?,@walemlumcha7550,http://www.youtube.com/@walemlumcha7550,2025-01-06T04:19:44Z,2025-01-06T04:19:55Z,
UgyhIO8Sv3cxhAXbDTZ4AaABAg,2025,@A.ptitan,http://www.youtube.com/@A.ptitan,2025-01-06T02:14:45Z,2025-01-06T02:14:45Z,
UgyN8p029oRxgWk44nt4AaABAg,aaaj samaj me ayi puri kahani broh ye giraftaar or gian saale dalle hain chor like honey paji,@Z3qxtar,http://www.youtube.com/@Z3qxtar,2025-01-05T23:56:38Z,2025-01-05T23:56:38Z,
UgwxybWLx0MUQP4Dyjp4AaABAg,kuchh bhi ho lekin bhai ki awaaz badi khatarnaak he,@rktbhopal-gc2lm,http://www.youtube.com/@rktbhopal-gc2lm,2025-01-05T23:21:42Z,2025-01-05T23:21:42Z,
Ugx8nAsCSb2bqdG_FpB4AaABAg,2025 ?,@FUNSTUFF001,http://www.youtube.com/@FUNSTUFF001,2025-01-05T19:34:22Z,2025-01-05T19:34:22Z,
Ugw_gju_qONqCsTiNJp4AaABAg,2025 anyone?,@Manojkumxr,http://www.youtube.com/@Manojkumxr,2025-01-05T18:09:19Z,2025-01-05T18:09:19Z,
UgwwCGbccUU3CdftyjB4AaABAg,anyone from 2025?,@SPORTSWORLD69-ko6dk,http://www.youtube.com/@SPORTSWORLD69-ko6dk,2025-01-05T17:07:00Z,2025-01-05T17:07:00Z,
UgxGSfwpTSuui0cBZm94AaABAg,anyone from 2025?,@FurqanMughal-v2o,http://www.youtube.com/@FurqanMughal-v2o,2025-01-05T15:59:26Z,2025-01-05T15:59:26Z,
UgzQy4bNgae5j8le2rp4AaABAg,koun koun 2025 me sunne aaye hai,@thepsycho3519,http://www.youtube.com/@thepsycho3519,2025-01-05T15:23:47Z,2025-01-05T15:23:47Z,
UgwYkYkkbup6xTObC2B4AaABAg,anyone from 2025 ?,@Abhishekgautam0327,http://www.youtube.com/@Abhishekgautam0327,2025-01-05T14:11:51Z,2025-01-05T14:11:51Z,
UgwYkYkkbup6xTObC2B4AaABAg.ACv5xpNqjSHAD9HyIrmRFH,from 2060,@innocentone7,http://www.youtube.com/@innocentone7,2025-01-11T11:45:23Z,2025-01-11T11:45:23Z,UgwYkYkkbup6xTObC2B4AaABAg
UgxCZuUse2vdR-Jug6h4AaABAg,we want yo yo honey singh and emiway bantai collab,@ShairafShah-ih1on,http://www.youtube.com/@ShairafShah-ih1on,2025-01-05T13:35:35Z,2025-01-05T13:35:35Z,
UgyAvRkR5zPw0xmHaLB4AaABAg,sorry raftar we were immature in 2019,@SaritaChettri-d4w,http://www.youtube.com/@SaritaChettri-d4w,2025-01-05T13:21:59Z,2025-01-05T13:21:59Z,
UgwU34zpyy2n-CXn1_Z4AaABAg,,@sinlokhoklaskar4331,http://www.youtube.com/@sinlokhoklaskar4331,2025-01-05T12:44:26Z,2025-01-05T12:44:26Z,
UgyGronEKG5ZSN-OuG94AaABAg,2025 still fresh,@raghavshorts5693,http://www.youtube.com/@raghavshorts5693,2025-01-05T11:33:45Z,2025-01-05T11:33:45Z,
Ugyw6eR7mwCLjzkuvmV4AaABAg,anyone from 2025?,@Fit.iftekhar,http://www.youtube.com/@Fit.iftekhar,2025-01-05T09:35:05Z,2025-01-05T09:35:05Z,
UgwBeF_TscvTodrA6OZ4AaABAg,2025,@BALLU_.08,http://www.youtube.com/@BALLU_.08,2025-01-05T08:57:40Z,2025-01-05T08:57:40Z,
Ugzao-4J5g2pb7d2oIN4AaABAg,anyone in 2025,@up_pritam_tx,http://www.youtube.com/@up_pritam_tx,2025-01-05T03:26:14Z,2025-01-05T03:26:14Z,
UgzaXsRAH9Ag6fbt07Z4AaABAg,yep still watching this og in2025,@lastpageartist6933,http://www.youtube.com/@lastpageartist6933,2025-01-05T02:25:08Z,2025-01-05T02:25:08Z,
UgwUg7OhmMNkoBhLR6B4AaABAg,2025,@MusfiqurRahmanNibin,http://www.youtube.com/@MusfiqurRahmanNibin,2025-01-04T20:01:58Z,2025-01-04T20:01:58Z,
UgxP8l6UWm8bqHWeO8J4AaABAg,2025 anyone?,@fazlulhoquetalukder3273,http://www.youtube.com/@fazlulhoquetalukder3273,2025-01-04T18:06:35Z,2025-01-04T18:06:35Z,
UgxiNz6JpOMPJb9j4el4AaABAg,2025??????,@lazyboyUK10,http://www.youtube.com/@lazyboyUK10,2025-01-04T18:03:19Z,2025-01-04T18:03:19Z,
UgxbHwHQLJlOMsbfOlV4AaABAg,anyone 2025 like karo,@cngrsante,http://www.youtube.com/@cngrsante,2025-01-04T17:17:43Z,2025-01-04T17:17:43Z,
UgzO8L9taHSdptaPgct4AaABAg,miss you legend sidhu moose wala,@aprdangerous8145,http://www.youtube.com/@aprdangerous8145,2025-01-04T15:38:33Z,2025-01-04T15:38:33Z,
UgwB8f1NLLVFZP0aUFd4AaABAg,,@aprdangerous8145,http://www.youtube.com/@aprdangerous8145,2025-01-04T15:37:12Z,2025-01-04T15:37:12Z,
UgxWmhUrfOR_bgSvd654AaABAg,ab samaj mein aaya ki bhai tab thoda yeda tha,@MohammedAzmathMohiuddin,http://www.youtube.com/@MohammedAzmathMohiuddin,2025-01-04T14:47:12Z,2025-01-04T14:47:12Z,
UgwZWpQF72I820hDeL14AaABAg,2025,@RajuAmgoth111,http://www.youtube.com/@RajuAmgoth111,2025-01-04T14:29:27Z,2025-01-04T14:29:27Z,
UgypnrdGd1DNKzpsSQB4AaABAg,2025,@devrajchaudhary3116,http://www.youtube.com/@devrajchaudhary3116,2025-01-04T10:40:22Z,2025-01-04T10:40:22Z,
UgwjiPqJIegnPIv11yB4AaABAg,"udjw,,m,,",@MonirulMondal-n6x,http://www.youtube.com/@MonirulMondal-n6x,2025-01-04T06:54:57Z,2025-01-04T06:54:57Z,
UgzxCJt7wrTOBdRO2D54AaABAg,"quot;anyone, from 2025.,!?",@Razzhial,http://www.youtube.com/@Razzhial,2025-01-04T04:59:36Z,2025-01-04T04:59:36Z,
Ugwsc7yZ1rH7ATQALaB4AaABAg,anyone 2025 ?,@SFSUMAN96,http://www.youtube.com/@SFSUMAN96,2025-01-04T02:39:25Z,2025-01-04T02:39:25Z,
Ugzw5Wzd6BOajoiHTcl4AaABAg,anyone from 2025,@latakamal5990,http://www.youtube.com/@latakamal5990,2025-01-04T02:24:19Z,2025-01-04T02:24:19Z,
UgwbvJoU4ZTJdCb0qPN4AaABAg,anyone from 2025?,@Knowledgelife0,http://www.youtube.com/@Knowledgelife0,2025-01-04T00:42:42Z,2025-01-04T00:42:42Z,
UgzEH0mJ0xharh5JhCZ4AaABAg,anyone 2081,@Jenny65759,http://www.youtube.com/@Jenny65759,2025-01-03T18:23:42Z,2025-01-03T18:23:42Z,
UgzulS3QB4lZCw05dXN4AaABAg,raftaar never beat emiway,@HamzaAhmed-q6c,http://www.youtube.com/@HamzaAhmed-q6c,2025-01-03T17:56:16Z,2025-01-03T17:56:16Z,
